COUNTRY,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
REGION: Latin America and the Caribbean,...,6,6,5,5,5,5,4,4,4,4,4,4,5
Anguilla,...,...,...,1,2,8,8,8,5,7,7,...,...,...
Antigua and Barbuda,...,...,...,...,...,...,...,...,...,8,7,8,11,12
Argentina,-,1,...,...,...,1,1,1,...,...,...,...,...,...
Aruba,...,2,2,3,5,6,5,2,1,1,1,4,1,...
Bahamas,...,9,...,...,...,...,5,1,3,1,1,4,2,...
Barbados,...,5,5,6,7,8,9,9,6,7,5,6,4,3
Belize,...,-,1,1,...,1,1,2,1,1,-,-,1,-
Bermuda,...,...,...,...,...,...,...,2,...,...,...,...,9,12
Bolivia (Plurinational State of),5,6,6,7,7,7,...,...,6,7,9,8,11,13
Brazil,...,...,...,...,...,...,...,...,...,...,...,...,...,...
British Virgin Islands,...,2,3,5,6,6,5,3,4,5,...,7,10,15
Cayman Islands,...,5,2,...,...,...,...,...,...,...,...,...,...,...
Chile,...,...,...,...,...,...,...,...,...,5,5,6,6,7
Colombia,6,5,4,5,4,...,...,4,5,6,7,7,9,10
Costa Rica,...,...,...,...,...,...,...,...,...,...,...,...,...,5
Cuba,2,1,2,3,3,5,5,5,4,1,1,-,-,2
Dominica,...,...,2,3,2,2,2,4,6,7,5,3,4,...
Dominican Republic,...,17,16,...,10,13,18,17,18,12,15,6,8,9
Ecuador,3,3,2,1,1,1,1,1,1,1,...,3,3,3
El Salvador,25,...,15,14,12,12,...,5,6,6,6,6,5,5
Grenada,...,-,17,9,4,...,1,9,...,7,4,3,...,...
Guatemala,...,16,13,14,11,...,6,5,3,3,3,1,2,5
Guyana,...,...,...,...,...,3,...,...,...,...,11,18,18,20
Haiti,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Honduras,...,...,12,...,...,7,4,8,4,7,4,4,4,3
Jamaica,...,7,6,7,8,9,8,...,...,...,...,...,...,...
Mexico,4,2,2,2,...,2,3,5,5,6,5,5,4,3
Montserrat,...,...,...,-,...,...,1,2,1,4,...,...,...,...
Netherlands Antilles,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Nicaragua,...,19,17,15,9,...,7,6,8,8,6,...,7,...
Panama,...,7,5,4,2,...,3,3,3,3,5,8,6,8
Paraguay,...,3,2,3,4,5,6,5,7,9,12,14,16,17
Peru,-,-,-,-,-,-,-,-,-,-,2,3,3,4
Puerto Rico,...,...,...,...,...,...,...,...,...,...,...,...,12,15
Saint Kitts and Nevis,...,...,3,6,4,3,3,4,...,10,17,8,14,13
Saint Lucia,...,7,3,2,3,3,5,7,5,6,8,9,12,15
Saint Vincent and the Grenadines,...,...,2,2,1,1,1,2,...,2,2,2,1,3
Suriname,...,...,...,9,10,...,...,10,11,15,11,9,...,8
